OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,SEX,RACE_ETHNICITY,AGE_CATEGORY,METRIC_NAME,METRIC_VALUE,QUALITY_FLAG,ESTIMATE_TYPE,Shape__Area,Shape__Length
1,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,100,,Final,28221330.1835938,28401.8230651796
2,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,7.51262626,,Final,28221330.1835938,28401.8230651796
3,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,8.32697017,,Preliminary,28221330.1835938,28401.8230651796
4,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,count_births,1495,,Final,28221330.1835938,28401.8230651796
5,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,126,,Final,28221330.1835938,28401.8230651796
6,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,119,,Final,28221330.1835938,28401.8230651796
7,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,13.28415804,,Final,28221330.1835938,28401.8230651796
8,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,143,,Final,28221330.1835938,28401.8230651796
9,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,count_births,1265,,Preliminary,28221330.1835938,28401.8230651796
10,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.90851347,,Final,28221330.1835938,28401.8230651796
11,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,8.53174603,,Final,28221330.1835938,28401.8230651796
12,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,121,,Final,28221330.1835938,28401.8230651796
13,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.90851347,,Final,28221330.1835938,28401.8230651796
14,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,104,,Final,28221330.1835938,28401.8230651796
15,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,7.57997218,,Final,28221330.1835938,28401.8230651796
16,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,count_births,1627,,Final,28221330.1835938,28401.8230651796
17,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,9.84096474,,Final,28221330.1835938,28401.8230651796
18,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,6.1462815,,Final,28221330.1835938,28401.8230651796
19,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,13.52320459,,Final,28221330.1835938,28401.8230651796
20,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,120,,Final,28221330.1835938,28401.8230651796
21,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,count_births,1512,,Final,28221330.1835938,28401.8230651796
22,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,139,,Final,28221330.1835938,28401.8230651796
23,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,6.62207358,,Final,28221330.1835938,28401.8230651796
24,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,129,,Final,28221330.1835938,28401.8230651796
25,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.83838384,,Final,28221330.1835938,28401.8230651796
26,Central,2014,Planning district,Female,All races/ethnicities,15-19,count_teen_births,15,,Final,28221330.1835938,28401.8230651796
27,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,count_births,1556,,Final,28221330.1835938,28401.8230651796
28,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,111,,Final,28221330.1835938,28401.8230651796
29,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,6.95652174,,Final,28221330.1835938,28401.8230651796
30,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,106,,Preliminary,28221330.1835938,28401.8230651796
31,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,7.60582011,,Final,28221330.1835938,28401.8230651796
32,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,count_births,1338,,Preliminary,28221330.1835938,28401.8230651796
33,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,8.80749888,,Preliminary,28221330.1835938,28401.8230651796
34,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.3755378,,Final,28221330.1835938,28401.8230651796
35,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,6.42750374,,Preliminary,28221330.1835938,28401.8230651796
36,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,8.54333128,,Final,28221330.1835938,28401.8230651796
37,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,132,,Final,28221330.1835938,28401.8230651796
38,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,93,,Preliminary,28221330.1835938,28401.8230651796
39,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,13.92446129,,Final,28221330.1835938,28401.8230651796
40,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,7.63888889,,Final,28221330.1835938,28401.8230651796
41,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,8.46106683,,Final,28221330.1835938,28401.8230651796
42,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,10.48812665,,Final,28221330.1835938,28401.8230651796
43,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,115,,Final,28221330.1835938,28401.8230651796
44,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,8.09768638,,Final,28221330.1835938,28401.8230651796
45,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,count_births,1512,,Final,28221330.1835938,28401.8230651796
46,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,7.17351318,,Final,28221330.1835938,28401.8230651796
47,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,118,,Final,28221330.1835938,28401.8230651796
48,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,9.45767196,,Final,28221330.1835938,28401.8230651796
49,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,99,,Final,28221330.1835938,28401.8230651796
50,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,6.10539846,,Final,28221330.1835938,28401.8230651796
51,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,count_births,1493,,Final,28221330.1835938,28401.8230651796
52,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,9.82779957,,Final,28221330.1835938,28401.8230651796
53,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,94,,Final,28221330.1835938,28401.8230651796
54,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,6.29604823,,Final,28221330.1835938,28401.8230651796
55,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,127,,Final,28221330.1835938,28401.8230651796
56,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,8.3994709,,Final,28221330.1835938,28401.8230651796
57,Central,2014,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,13.89031178,,Final,28221330.1835938,28401.8230651796
58,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,8.37944664,,Preliminary,28221330.1835938,28401.8230651796
59,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,count_births,1584,,Final,28221330.1835938,28401.8230651796
60,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,6.6759388,,Final,28221330.1835938,28401.8230651796
61,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,106,,Preliminary,28221330.1835938,28401.8230651796
62,Central,2012,Planning district,Female,All races/ethnicities,15-19,count_teen_births,21,,Final,28221330.1835938,28401.8230651796
63,Central,2012,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,34.09090909,,Final,28221330.1835938,28401.8230651796
64,Central,2016,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,140,,Final,28221330.1835938,28401.8230651796
65,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,8.70712401,,Final,28221330.1835938,28401.8230651796
66,Central,2023,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,15.97051597,unreliable,Preliminary,28221330.1835938,28401.8230651796
67,Central,2014,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,24.35064935,unreliable,Final,28221330.1835938,28401.8230651796
68,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.83905013,,Final,28221330.1835938,28401.8230651796
69,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.34126984,,Final,28221330.1835938,28401.8230651796
70,Central,2018,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,115,,Final,28221330.1835938,28401.8230651796
71,Central,2016,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,22.72727273,unreliable,Final,28221330.1835938,28401.8230651796
72,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,117,,Final,28221330.1835938,28401.8230651796
73,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,count_births,1451,,Final,28221330.1835938,28401.8230651796
74,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,86,,Preliminary,28221330.1835938,28401.8230651796
75,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,6.55518395,,Final,28221330.1835938,28401.8230651796
76,Central,2018,Planning district,Female,All races/ethnicities,15-19,count_teen_births,12,,Final,28221330.1835938,28401.8230651796
77,Central,2018,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,19.48051948,unreliable,Final,28221330.1835938,28401.8230651796
78,Central,2021,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,25.7985258,,Final,28221330.1835938,28401.8230651796
79,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,count_births,1631,,Final,28221330.1835938,28401.8230651796
80,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,138,,Final,28221330.1835938,28401.8230651796
81,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.5978836,,Final,28221330.1835938,28401.8230651796
82,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,159,,Final,28221330.1835938,28401.8230651796
83,Central,2011,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,47.07792208,,Final,28221330.1835938,28401.8230651796
84,Central,2015,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.05088903,,Final,28221330.1835938,28401.8230651796
85,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,6.95410292,,Final,28221330.1835938,28401.8230651796
86,Central,2013,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,38.96103896,,Final,28221330.1835938,28401.8230651796
87,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,7.56865372,,Final,28221330.1835938,28401.8230651796
88,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.58354756,,Final,28221330.1835938,28401.8230651796
89,Central,2017,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,95,,Final,28221330.1835938,28401.8230651796
90,Central,2015,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,35.71428571,,Final,28221330.1835938,28401.8230651796
91,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.94266298,,Final,28221330.1835938,28401.8230651796
92,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,6.89179876,,Final,28221330.1835938,28401.8230651796
93,Central,2019,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,130,,Final,28221330.1835938,28401.8230651796
94,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,134,,Final,28221330.1835938,28401.8230651796
95,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,109,,Final,28221330.1835938,28401.8230651796
96,Central,2017,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,27.5974026,unreliable,Final,28221330.1835938,28401.8230651796
97,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,105,,Final,28221330.1835938,28401.8230651796
98,Central,2020,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,15.97051597,unreliable,Final,28221330.1835938,28401.8230651796
99,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,96,,Final,28221330.1835938,28401.8230651796
100,Central,2022,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,-99999,suppressed,Preliminary,28221330.1835938,28401.8230651796
101,Central,2020,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,98,,Final,28221330.1835938,28401.8230651796
102,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,114,,Preliminary,28221330.1835938,28401.8230651796
103,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,9.01185771,,Preliminary,28221330.1835938,28401.8230651796
104,Central,2023,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.37944664,,Preliminary,28221330.1835938,28401.8230651796
105,Central,2021,Planning district,Female,All races/ethnicities,15-19,count_teen_births,21,,Final,28221330.1835938,28401.8230651796
106,Central,2023,Planning district,Female,All races/ethnicities,15-19,count_teen_births,13,,Preliminary,28221330.1835938,28401.8230651796
107,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,count_births,1438,,Final,28221330.1835938,28401.8230651796
108,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,104,,Preliminary,28221330.1835938,28401.8230651796
109,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,7.77279522,,Preliminary,28221330.1835938,28401.8230651796
110,Central,2016,Planning district,Female,All races/ethnicities,15-19,count_teen_births,14,,Final,28221330.1835938,28401.8230651796
111,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,9.71743625,,Final,28221330.1835938,28401.8230651796
112,Central,2013,Planning district,Female,All races/ethnicities,15-19,count_teen_births,24,,Final,28221330.1835938,28401.8230651796
113,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,113,,Final,28221330.1835938,28401.8230651796
114,Central,2019,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,-99999,suppressed,Final,28221330.1835938,28401.8230651796
